"","ID","Sektor","Total","Padat_Ditimbun_di_TPA","Padat_Ditimbun_Lubang","Padat_Kompos","Padat_3R","Padat_ins_sampah_domestik","Padat_ins_sampah_industri","Padat_dibakar_terbuka","Padat_tidak_terkelola","Cair_septic_tank","Cair_MCK_plus","Cair_IPAL_Aerob","Cair_IPAL_Anaerob","Cair_tidak_terkelola","Cair_Biogas","Cair_Pengolahan_KIMIA","Cair_3R"
"66",66,"Perabot Rumah Tangga Terbuat dari Kayu, Bambu, dan Rotan ",862.8986743,0.59631975,0,0.0315172,0,0,0,1.3774449,1.33339245,773.260176,0,0,1.031472,85.268352,0,0,0
"67",67,"Kertas dan Barang-Barang dari Kertas dan Karton, termasuk Barang-Barang Cetakan ",610.1607965,0.42166125,0,0.022286,0,0,0,0.9739995,0.94284975,546.77688,0,0,0.72936,60.29376,0,0,0
"68",68,"Pupuk dan Pestisida ",5.5414406,0.0038295,0,0.0002024,0,0,0,0.0088458,0.0085629,4.965792,0,0,0.006624,0.547584,0,0,0
"69",69,"Barang-Barang Kimia Lainnya ",64.8107618,0.0447885,0,0.0023672,0,0,0,0.1034574,0.1001487,58.078176,0,0,0.077472,6.404352,0,0,0
"70",70,"Barang-Barang Hasil Kilang Minyak ",926480.4353,0,0,87680.3802,7095.791833,0,0,0,70844.41147,0,0,0,0,641557.027,0,119302.8248,0
"71",71,"Karet dan Barang-Barang dari Karet ",1208.395449,0.83508075,0,0.0441364,0,0,0,1.9289613,1.86727065,1082.866512,0,0,1.444464,119.409024,0,0,0
"72",72,"Barang-Barang Plastik ",73.2433888,0.050616,0,0.0026752,0,0,0,0.1169184,0.1131792,65.634816,0,0,0.087552,7.237632,0,0,0
"73",73,"Bahan Bangunan dari Keramik dan Tanah Liat ",8.3121609,0.00574425,0,0.0003036,0,0,0,0.0132687,0.01284435,7.448688,0,0,0.009936,0.821376,0,0,0
"74",74,"Semen ",7995.816921,5.5256355,0,0.2920456,0,0,0,12.7637202,12.3555201,7165.206048,0,0,9.557856,790.116096,0,0,0
"75",75,"Barang-Barang Lainnya dari Bahan Bukan Logam ",3725.293676,2.574423,0,0.1360656,0,0,0,5.9466852,5.7565026,3338.307648,0,0,4.453056,368.119296,0,0,0
"76",76,"Besi dan Baja Dasar ",24.2136861,0.01673325,0,0.0008844,0,0,0,0.0386523,0.03741615,21.698352,0,0,0.028944,2.392704,0,0,0
