y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
3252903.22,3415548.381,3586325.8,3765642.09,3953924.195,4151620.405,4359201.425,4577161.496,4806019.571,5046320.55,5298636.577,5563568.406,5841746.826,6133834.168,6440525.876,6762552.17,7100679.778,7455713.767,7828499.456,8219924.428,8630920.65,9062466.682
4903251.73,5148414.316,5405835.032,5676126.784,5959933.123,6257929.779,6570826.268,6899367.582,7244335.961,7606552.759,7986880.397,8386224.416,8805535.637,9245812.419,9708103.04,10193508.19,10703183.6,11238342.78,11800259.92,12390272.92,13009786.56,13660275.89
13946688.86,14644023.3,15376224.47,16145035.69,16952287.48,17799901.85,18689896.94,19624391.79,20605611.38,21635891.95,22717686.55,23853570.87,25046249.42,26298561.89,27613489.98,28994164.48,30443872.71,31966066.34,33564369.66,35242588.14,37004717.55,38854953.43
4114322.101,4320038.206,4536040.116,4762842.122,5000984.228,5251033.439,5513585.111,5789264.367,6078727.585,6382663.964,6701797.163,7036887.021,7388731.372,7758167.94,8146076.337,8553380.154,8981049.162,9430101.62,9901606.701,10396687.04,10916521.39,11462347.46
1076135.57,1129942.349,1186439.466,1245761.439,1308049.511,1373451.987,1442124.586,1514230.815,1589942.356,1669439.474,1752911.448,1840557.02,1932584.871,2029214.115,2130674.82,2237208.561,2349068.99,2466522.439,2589848.561,2719340.989,2855308.039,2998073.44
129829.0349,136320.4866,143136.511,150293.3365,157808.0033,165698.4035,173983.3237,182682.4899,191816.6144,201407.4451,211477.8173,222051.7082,233154.2936,244812.0083,257052.6087,269905.2392,283400.5011,297570.5262,312449.0525,328071.5051,344475.0804,361698.8344
389486.9985,408961.3484,429409.4158,450879.8866,473423.8809,497095.075,521949.8287,548047.3201,575449.6861,604222.1705,634433.279,666154.9429,699462.6901,734435.8246,771157.6158,809715.4966,850201.2714,892711.335,937346.9017,984214.2468,1033424.959,1085096.207
271387.1118,284956.4674,299204.2908,314164.5053,329872.7306,346366.3671,363684.6855,381868.9197,400962.3657,421010.484,442061.0082,464164.0586,487372.2616,511740.8746,537327.9184,564194.3143,592404.03,622024.2315,653125.4431,685781.7152,720070.801,756074.3411
1002776.385,1052915.204,1105560.964,1160839.012,1218880.963,1279825.011,1343816.262,1411007.075,1481557.428,1555635.3,1633417.065,1715087.918,1800842.314,1890884.43,1985428.651,2084700.084,2188935.088,2298381.842,2413300.934,2533965.981,2660664.28,2793697.494
462963.403,486111.5732,510417.1518,535938.0094,562734.9099,590871.6554,620415.2381,651436,684007.8001,718208.1901,754118.5996,791824.5295,831415.756,872986.5438,916635.871,962467.6646,1010591.048,1061120.6,1114176.63,1169885.462,1228379.735,1289798.722
